dataset,variant,mae,rmse,wape,r2_nse,mae_rank,rmse_rank,wape_rank,r2_rank
ASHRAE meter0 site0 short,anchor,50.1506,91.5906,0.1393,0.9512,1,1,1,1
ASHRAE meter0 site0 short,no_dcp,52.9046,92.8389,0.1470,0.9498,2,2,2,2
ASHRAE meter0 site0 short,no_kfilm,55.2806,97.6455,0.1536,0.9445,3,3,3,3
ASHRAE meter0 site0 short,no_pstg,58.2856,102.6495,0.1619,0.9387,4,4,4,4
HK Rooftop PV Short,anchor,2201.5144,6742.6143,0.4064,0.7494,1,1,1,1
HK Rooftop PV Short,no_dcp,2318.0217,7208.9961,0.4279,0.7135,2,2,2,2
HK Rooftop PV Short,no_pstg,2351.2498,7212.2925,0.4340,0.7133,4,4,4,4
HK Rooftop PV Short,no_kfilm,2258.5046,6841.3506,0.4169,0.7420,3,3,3,3
SDWPF Short Term,anchor,123.1392,201.8342,0.3730,0.7635,1,1,2,1
SDWPF Short Term,no_pstg,124.1884,202.8980,0.3762,0.7610,2,2,3,2
SDWPF Short Term,no_kfilm,126.0912,206.5317,0.3820,0.7524,4,4,4,4
SDWPF Short Term,no_dcp,123.8511,204.3672,0.3691,0.7576,3,3,1,3
