,SOTA,,TimeXer,,CrossFormer,,PatchTST,,TiDE,,iTransformer,,Amplifier,,DAG,,GCGNet,,DUET,,TimeKAN,,CrossLinear,
,mae,rmse,mae,rmse,mae,rmse,mae,rmse,mae,rmse,mae,rmse,mae,rmse,mae,rmse,mae,rmse,mae,rmse,mae,rmse,mae,rmse
hot_medium,267.32,468.23,377.48,556.27,323.4,480.46,372.19,529.96,428.58,647.79,394.77,537.81,352.08,486.1,374.66,530.49,OOM,,359.42,508,325.33,477.37,367.95,519.06
hot_short,258.55,449.75,370.98,536.43,363.96,526.93,369.48,504.82,312.79,496.73,396.91,549.22,368.01,505.76,276.9,445.89,,,363.62,509.49,343.95,501.63,389.46,543.46
hot_ultra_short,207.71,355.49,181.3,296.95,224.5,348.63,242.6,358.53,205.82,335.06,240.16,357.15,241.32,357.81,174.27,296.58,,,238.76,355.5,235.89,354.87,292.66,428.14
kel_medium,144.55,208.41,231.16,328.12,280.51,410.72,349.92,477.61,209.45,283.89,382.84,527.38,289.76,395.67,306.12,410.92,,,332.86,457.11,264.88,361.46,337.94,445.28
kel_short,138.67,200.07,202.08,285.36,277.38,397.51,299.9,404.94,186.61,273.3,348.3,475.12,305.4,431.7,185.01,276.33,,,318.1,425.45,290.11,377.49,329.03,433.2
kel_ultra_short,121.53,175.22,117.52,172.98,161.89,237.65,183.16,259.51,133.01,206.83,182.12,259.54,182.08,257.42,103.38,164.64,,,166.94,253.9,157.84,235.14,203.73,292.46
sd_medium,129.85,215.72,198.01,281.86,185.61,256.27,249.13,325.73,165.29,233.61,246.56,350.77,189.05,265.75,167.78,246.62,,,195.13,277.77,OOM,,255.85,339.86
sd_short,126.3,200.86,164.12,244.59,223.18,300.65,223.91,321.39,165.21,237.9,266.87,376.54,214.08,294.3,146.96,230.52,,,217.38,293.28,216.25,288.11,230.66,315.66
sd_ultra_short,98.69,166.01,102.26,166.98,144.2,218.88,161.4,235.26,123.83,202.41,149.82,225.23,155.17,222.23,107.16,182.88,,,141.36,210.72,127.05,199.8,152.8,222.91
